iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
34,19.6331706,239.034076228121,0.49979953378464,0.182292073041366,0.0392431,0.0537497,0.0308831,0.5152576
35,20.2584269,238.597277397345,0.499832061171304,0.178668241630446,0.0428674,0.0530599,0.0315541,0.488636
36,20.9229609,238.228402073185,0.499858661031497,0.178009649859895,0.043199,0.0547647,0.0383212,0.5181183
37,21.5751748,237.914140959588,0.499880641708337,0.176561266884482,0.05011,0.0532246,0.0366518,0.5024807
38,22.1825597,237.657567634267,0.499908829106648,0.172824935839699,0.0415053,0.0489681,0.0288853,0.4815986
39,22.7831239,237.459963338723,0.499929786166544,0.171706107743289,0.0419562,0.0495712,0.0311683,0.4712592
40,23.4221606,237.300764724318,0.499942872806174,0.172156491307886,0.0433658,0.054162,0.0315246,0.5029631
41,24.0254059,237.169919711983,0.499952502024913,0.170715732270921,0.0448648,0.0538082,0.0309731,0.4657145
42,24.6111878,237.060190394677,0.499960650549264,0.165124656978048,0.0412875,0.0557389,0.0310033,0.4486676
43,25.1924577,236.968616942566,0.499966622123871,0.162091490837395,0.0396478,0.0537582,0.0361303,0.4439594
44,25.8031839,236.889522474488,0.499971393114975,0.159375055082305,0.047011,0.0611597,0.0410729,0.4480523
45,26.408761,236.820848082881,0.499975021969748,0.164629456947291,0.042344,0.0511147,0.0315872,0.4728973
46,27.1605309,236.759753066909,0.499977835739632,0.168649251600826,0.0620809,0.0746745,0.0429076,0.5643017
47,27.7812083,236.704481331575,0.499979397844973,0.168604904160958,0.0504388,0.0577851,0.0384523,0.4629736
48,28.4018806,236.653613498622,0.49998096809778,0.153818090272629,0.0422056,0.0592162,0.0348054,0.4745147
49,29.1202345,236.607935945328,0.499983537822711,0.153253657220356,0.0627067,0.0594329,0.0554768,0.5308621
50,29.7738212,236.568792820649,0.499985284509205,0.149443158934818,0.0472968,0.0524617,0.0338859,0.5090246
51,30.3574326,236.531635825698,0.499985236087371,0.148253468879112,0.0478757,0.0550066,0.0371879,0.4356122
52,30.9379331,236.493626377559,0.499985079415971,0.155936985124374,0.0414556,0.0518203,0.0334548,0.4390846
53,31.5459395,236.456526595547,0.499985973723111,0.145867755572023,0.0406567,0.0439898,0.0329362,0.4833826
54,32.2868876,236.423508801971,0.499987570594754,0.148533773563247,0.045317,0.0514888,0.0348748,0.5989602
55,32.9883816,236.392554224226,0.499987784092723,0.146591407820019,0.0586621,0.0619833,0.0487146,0.5215325
56,33.7287987,236.3616607132,0.499987752803757,0.146221594241866,0.0445308,0.052295,0.0377208,0.5986216
57,34.4957459,236.331061440597,0.49998786389228,0.141733653606116,0.0563826,0.062353,0.0474229,0.5908197
58,35.212759,236.301157635203,0.499988358802019,0.143688916922343,0.0639744,0.1005766,0.0488511,0.4840891
59,35.832287,236.272550588706,0.499988758965092,0.143858564765256,0.0399133,0.0530037,0.0283341,0.4912861
60,36.6057477,236.24481637372,0.499989081519038,0.144487604973059,0.0547286,0.0895481,0.0450587,0.570441
61,37.7152401,236.218059060874,0.499989396480681,0.138962008878329,0.0574279,0.3102113,0.043014,0.6862951
62,38.7416632,236.191724689881,0.499989522173387,0.139121011724129,0.0682043,0.1185896,0.0603207,0.7563951
63,39.4277651,236.166170653899,0.499989927627766,0.139187833895304,0.0572947,0.0742055,0.0404529,0.5031547
64,40.22856,236.141428090846,0.499990175258254,0.141073412178731,0.0545489,0.0948601,0.045615,0.5951459
65,41.2011521,236.117802720298,0.499990687420876,0.135978440295913,0.0735042,0.0992344,0.0468745,0.7368723
66,42.1547289,236.09480049562,0.499990654732525,0.134669395987941,0.0823673,0.0952629,0.0549116,0.7098791
67,43.1090167,236.071616867493,0.499990673020987,0.135159973666785,0.0850704,0.1547147,0.0466972,0.6569734
68,43.8968165,236.048930603542,0.499991005177175,0.137138806773609,0.0622633,0.0670762,0.0444726,0.6031799
69,44.7364071,236.027381145203,0.499991560377385,0.131590961601141,0.0629726,0.0886074,0.0396449,0.6362025
70,45.4823311,236.006880780246,0.499991733815502,0.129356260491649,0.0644367,0.0836981,0.0498203,0.5353346
71,46.1639034,235.986573605639,0.499991732024501,0.129177056648623,0.047364,0.0580611,0.0320492,0.5373642
72,46.8676272,235.96617726903,0.499991721641098,0.131109035388539,0.0441452,0.0606611,0.0329796,0.5580616
73,47.521482,235.946259628691,0.499992113811249,0.130966371056333,0.0428131,0.0527413,0.0327543,0.5183792
74,48.2562877,235.927544601735,0.499992534664343,0.128049604054054,0.0513595,0.0534647,0.0341166,0.5865016
75,48.9656647,235.909406696198,0.499992607505391,0.125586855582469,0.0520305,0.0576316,0.039966,0.5512547
76,49.9256136,235.891308339909,0.499992572266489,0.125182539829126,0.0611217,0.1217023,0.0493369,0.7099601
77,50.573515,235.873067535994,0.499992477872347,0.125435058954563,0.0551083,0.0625166,0.0386467,0.4826877
78,51.17973,235.854817638872,0.4999926857143,0.127447024631228,0.0443807,0.0529256,0.0295712,0.4681899
79,51.8335515,235.837561964509,0.499993179471157,0.122388866626272,0.0490055,0.0526711,0.0298836,0.5151331
80,52.4851275,235.821124199719,0.499993292319893,0.121647015120657,0.0480162,0.0631914,0.0405977,0.4925544
81,53.1915912,235.804871783698,0.499993368595403,0.120146305112996,0.0487463,0.0665533,0.0369488,0.5445439
82,53.9954619,235.78868590631,0.499993346837066,0.120583902799601,0.0591812,0.0758857,0.0473157,0.60925
83,54.8055092,235.772418668517,0.499993288070083,0.12178424315639,0.0514985,0.0564546,0.0340192,0.6605573
84,55.5870839,235.756430606774,0.499993653191718,0.120546327472302,0.0621996,0.0660883,0.0487835,0.5947806
85,56.2783232,235.741364624764,0.499993956468995,0.117520285538221,0.0485312,0.0731826,0.0392961,0.522371
86,57.0893543,235.726811957259,0.499994046002204,0.116896584934947,0.0445456,0.0565863,0.0348274,0.668137
87,57.8026005,235.712341111421,0.499994018212394,0.115908690520979,0.0634755,0.0694499,0.0534399,0.5132041
88,58.4613714,235.697747118533,0.499993960849888,0.11730621617002,0.054991,0.0596844,0.0347648,0.500647
89,59.1711672,235.683012936265,0.49999388955654,0.118023974100618,0.0517794,0.0601668,0.0413741,0.5457478
90,59.7902059,235.668306507493,0.499994100612353,0.116732595859158,0.0603724,0.0549619,0.0362102,0.4607774
91,60.4014389,235.654340906378,0.499994448652439,0.113348297283424,0.0435988,0.0534037,0.0376626,0.4694069
92,61.1174315,235.64095354965,0.499994486932295,0.111812669752042,0.0524795,0.0613671,0.0459504,0.5462249
93,61.7632107,235.627603288334,0.499994552705123,0.110535786403275,0.0446234,0.0588041,0.0361321,0.4944435
94,62.3508524,235.614307243492,0.499994532735137,0.111876489974067,0.0452721,0.0600409,0.0345485,0.4405326
95,62.9090321,235.601039247697,0.499994521000098,0.113339850874586,0.0425067,0.0554347,0.0297464,0.423652
96,63.4734757,235.5878168203,0.499994685499012,0.113837932047991,0.0418108,0.0521073,0.0294851,0.4347234
97,64.0182247,235.574974322653,0.499994837589563,0.110680214530986,0.0411548,0.053645,0.0295099,0.4141177
98,64.5767689,235.562690839463,0.499994993293485,0.109375051659659,0.0428358,0.0530708,0.0310611,0.4246984
99,65.1069053,235.550584693533,0.49999507756138,0.108867328188717,0.0435124,0.0522589,0.0284911,0.3987393
100,65.6525825,235.538563469315,0.499995097810574,0.108494499991703,0.0439447,0.0513857,0.0284513,0.4156067
101,66.1847347,235.52670607065,0.499995088259776,0.108397920364792,0.0411727,0.0528926,0.0298164,0.4004299
102,66.7493667,235.51477791041,0.499995158048383,0.110109638896025,0.0428521,0.0559513,0.0305866,0.4276381
103,67.3264436,235.503004141055,0.499995231182452,0.108998605682221,0.0520013,0.0536988,0.0352378,0.4288179
104,67.9140145,235.491557691698,0.499995294771714,0.108323549384267,0.043047,0.0550973,0.0344798,0.448048
105,68.4585211,235.480305705711,0.49999544306135,0.10652151549824,0.0438675,0.0542827,0.0299108,0.4094718
106,69.0376408,235.469417235056,0.499995545605065,0.104427002277445,0.0426457,0.0585365,0.0361436,0.4322545
107,69.6050864,235.458806705886,0.49999556939363,0.103974410797657,0.0465444,0.0530514,0.034341,0.4271295
108,70.2109243,235.4481652453,0.499995593902342,0.104848300948816,0.0457222,0.0514952,0.036576,0.4629967
109,70.8248491,235.437634205731,0.499995656415606,0.106471422766314,0.0534356,0.060569,0.0435237,0.4487893
110,71.4594985,235.427326088167,0.499995702964885,0.107689100253853,0.0508909,0.0645461,0.0418656,0.4692485
111,72.0235618,235.417053968577,0.499995750695479,0.10535663494891,0.0415296,0.0515507,0.0354222,0.4259893
112,72.6102282,235.406949830714,0.499995834208823,0.103754536538681,0.0481182,0.0568691,0.0327292,0.442501
113,73.2637394,235.397218457215,0.499995987477519,0.10406355008746,0.0496406,0.0521941,0.0358633,0.5092672
114,73.9939923,235.387716972162,0.49999607756274,0.103437151314336,0.0664931,0.1113714,0.0559481,0.4835797
115,74.5658598,235.378362306092,0.499996066892745,0.100156700043279,0.0503749,0.0524643,0.0362491,0.4256072
116,75.13431,235.369115578108,0.49999612698304,0.102854290144172,0.0456724,0.0542269,0.0348299,0.4239978
117,75.7848861,235.359904213252,0.499996170435093,0.102914514532043,0.0491697,0.0500427,0.0398212,0.5042931
118,76.350608,235.350767504452,0.499996160946056,0.102591480854875,0.0430682,0.0498524,0.0360763,0.4299616
119,76.9072514,235.34174511267,0.499996206008812,0.101667030006838,0.0492197,0.0509534,0.0350304,0.41463
120,77.5013995,235.33277392286,0.499996298289504,0.101396324316093,0.0462983,0.0548513,0.0314995,0.4538876
121,78.1038266,235.324013519794,0.499996350883052,0.0988216682687002,0.0461257,0.0530427,0.0305814,0.4651475
122,78.891501,235.315472309083,0.499996396780123,0.0972681684195693,0.0841842,0.0883054,0.0540705,0.5450248
123,79.4387955,235.306938417757,0.499996439638352,0.0959375389618888,0.0410158,0.0536,0.0308899,0.4148036
124,80.0164734,235.298498162412,0.49999646145902,0.0992388077837888,0.0458653,0.0555696,0.0322587,0.4367989
125,80.6261559,235.290193842987,0.499996483803521,0.100440729093201,0.0493081,0.0610255,0.0511589,0.4380614
126,81.1699926,235.281839566089,0.499996502051769,0.0997177965918228,0.0441446,0.0532897,0.0298909,0.4099999
127,81.7573524,235.273571900272,0.499996554568402,0.0991116048944021,0.048779,0.0568635,0.0386469,0.4254093
128,82.3123282,235.265539403536,0.499996624980475,0.0987155573269713,0.0441719,0.0558611,0.0344596,0.4079994
129,82.8976711,235.257547082608,0.499996655930468,0.0987700901641485,0.0406874,0.0516696,0.0304578,0.4541381
130,83.4484139,235.24966327952,0.499996716772498,0.0969185850130887,0.0383432,0.051424,0.031235,0.4213353
131,84.0604121,235.242028670911,0.499996800097486,0.0959191581653908,0.0462565,0.0562539,0.0310262,0.4685526
132,84.6180308,235.234458017219,0.499996839769263,0.0960700931132162,0.0446819,0.0524804,0.0332212,0.4209482
133,85.1687449,235.22700162706,0.499996878931125,0.0956292973778551,0.0440062,0.0522463,0.0285023,0.4192652
134,85.7136714,235.219725317651,0.49999691170179,0.0954630660718785,0.0418974,0.0519781,0.0306783,0.4108643
135,86.2621077,235.212439466534,0.499996959600077,0.0951043943411963,0.0420586,0.0514894,0.0299581,0.4170185
136,86.8121181,235.205300542751,0.499997024847704,0.0956298086845645,0.0418108,0.0547815,0.0302083,0.4168686
137,87.3868827,235.198383128934,0.49999704814926,0.0946573035436187,0.0503835,0.05435,0.0301498,0.4329246
138,87.9871807,235.191416725583,0.499997056222915,0.09214700348085,0.0447698,0.0533858,0.0306397,0.4649208
139,88.5343439,235.184495067161,0.499997078782221,0.0916777735043132,0.0444177,0.0524818,0.0278803,0.4153017
140,89.1296222,235.177715514012,0.499997108602031,0.0917332016399985,0.0424258,0.0540611,0.031748,0.4579108
141,89.7981098,235.170913602177,0.499997141932639,0.0913373944379753,0.0540912,0.0625212,0.0413214,0.5016384
142,90.3898054,235.164196674931,0.499997165326961,0.0916383161716835,0.0503211,0.0541062,0.0338319,0.4419133
143,91.0140264,235.157639204627,0.499997209334545,0.0916109586817798,0.0413229,0.0559761,0.0325298,0.4858349
144,91.6064694,235.151093531431,0.499997261902182,0.0921831558680896,0.0436982,0.0519855,0.0307238,0.4591171
145,92.177707,235.144677403396,0.499997304223851,0.0912004332234687,0.0405135,0.0547389,0.0310107,0.4345948
146,92.7479078,235.138433707737,0.499997320603405,0.0918273220731243,0.0483071,0.0538955,0.0298583,0.4312794
147,93.312951,235.132132684005,0.499997330206582,0.0914294589895586,0.0421387,0.0544553,0.0333512,0.4253338
148,93.8681905,235.125881952844,0.499997352233902,0.0909171068170362,0.0422928,0.0545151,0.0292028,0.422025
