iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
54,151.2708218,242.205672441367,0.500014472579187,0.125062359249936,0.4061253,2.0213933,0.0286134,0.3083094
55,154.0363872,242.170647512356,0.500012285696734,0.128342421715468,0.4118546,1.9878482,0.0307898,0.299938
56,156.8243909,242.147576828527,0.499990047197563,0.144136617884427,0.4126124,2.0086865,0.0296926,0.2996203
57,159.6016149,242.115504241275,0.499984223657927,0.147119775601015,0.4266325,1.9778477,0.0285833,0.309901
58,162.2910671,242.081202057667,0.499985775340045,0.146178379759582,0.3997822,1.9248611,0.0310612,0.2993237
59,165.0512935,242.037908435572,0.500009894861633,0.140181003051132,0.4467214,1.9437285,0.0299405,0.3033669
60,167.7913912,242.025629397007,0.499987660798433,0.139333535993155,0.4123519,1.9652459,0.0315287,0.2978186
61,170.5437449,241.988914991913,0.500014439911651,0.074149472156562,0.4093215,1.974775,0.032657,0.3036802
62,173.379835,241.979222906931,0.499998583268586,0.0752922162698038,0.4283259,2.0443519,0.0296841,0.2990508
63,176.2166485,241.953068698303,0.500012451885269,0.0718680694147625,0.4058019,2.0597376,0.0295827,0.3060983
64,178.9062198,241.945298568825,0.499995401560548,0.0720684426644812,0.4143332,1.9066869,0.0333982,0.2981995
65,181.6669959,241.920962555271,0.500008192035449,0.0681672462753293,0.4069673,1.992306,0.0313696,0.2941513
66,184.394203,241.912411328104,0.499994218774236,0.071181832987716,0.439522,1.917868,0.0272249,0.3082386
67,187.2187581,241.886876973261,0.500010437952133,0.0709494540173375,0.408392,2.0506194,0.0296969,0.3041612
68,190.2232888,241.876485372503,0.500000838720117,0.0701817396832864,0.4128455,2.1823443,0.0308417,0.3481881
69,193.326244,241.86522024112,0.4999934266373,0.0728699315284401,0.5416581,2.1123028,0.0320662,0.3790503
70,196.2744258,241.852077281071,0.49998969822025,0.0740127537657651,0.458876,2.1018836,0.0315381,0.3224443
71,199.2233919,241.836093742499,0.499991081378482,0.0746152947172989,0.4402695,2.1208382,0.0300382,0.3197313
