iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
43,5.6728352,220.423105532741,0.499965525228616,0.0191309988609293,0.0493678,0.0557474,0.0125838,0.0109734
44,5.8086256,220.401492091118,0.499915842510011,0.0195629144309893,0.050122,0.0593721,0.0109693,0.0078046
45,5.9333912,220.2210648889,0.500098829701916,0.0184890780495819,0.0444816,0.0553864,0.0104394,0.0082758
46,6.0603353,220.218906458341,0.500056425904282,0.0184166302614058,0.0452358,0.0573291,0.0103307,0.007406
47,6.1884212,220.16260758312,0.500071131337141,0.0180049813529884,0.048326,0.0554819,0.0100256,0.0075573
48,6.3109985,220.15030810378,0.500029103510644,0.017794379916831,0.0446193,0.0542296,0.0100987,0.0076439
49,6.4365265,220.115726270232,0.500009629444926,0.0174587233564941,0.0449248,0.0546841,0.0103192,0.008059
50,6.5652371,220.10096419715,0.499965209877342,0.017257607500616,0.0483126,0.0547601,0.01026,0.0085155
51,6.6897251,220.075034709211,0.499932713000186,0.0169580036198008,0.044359,0.0564963,0.0099089,0.0072081
52,6.8220021,220.058718254782,0.499888772120269,0.0174967588915022,0.048799,0.0599187,0.0097081,0.0076385
53,6.938955,219.885994142193,0.50007595380588,0.0164437556196615,0.0412431,0.0531699,0.0093321,0.0072588
54,7.0613919,219.885211242205,0.500044858640754,0.0164192983564743,0.0425542,0.0557178,0.0104523,0.00782
55,7.1822966,219.833827908101,0.500066699078752,0.01610217648389,0.0431099,0.0533357,0.0105442,0.0078463
56,7.297994,219.823059339615,0.500035245636909,0.015864347769452,0.0418521,0.0507816,0.0102639,0.0068779
57,7.4167018,219.792159383609,0.500023601677274,0.0156871178551062,0.0440161,0.0516372,0.009987,0.0071956
58,7.5396554,219.779291938489,0.499988932718942,0.0153907375596455,0.0466642,0.0521583,0.0103141,0.0078603
59,7.6548841,219.758389209654,0.499963075244731,0.0152740649177089,0.0412654,0.0494892,0.0099696,0.0079095
60,7.7713701,219.745723575717,0.499927645424942,0.0149558504217656,0.0418624,0.051187,0.0097691,0.0075772
61,7.8940539,219.729786178562,0.499896520526194,0.0156321568399634,0.0448657,0.0554055,0.009756,0.0068653
62,8.0140926,219.56849510663,0.500084860163726,0.0145476972222244,0.0416052,0.0550245,0.0097702,0.0075535
63,8.1366774,219.570279213915,0.500065294842321,0.0145692390980909,0.0432681,0.055119,0.0104728,0.0074767
64,8.2692436,219.527350925482,0.50009198838999,0.0142573102883607,0.0447044,0.0632955,0.0105143,0.0076728
65,8.3934233,219.521092060007,0.500070341927662,0.0140807159595088,0.0444268,0.0551591,0.0101324,0.0080182
66,8.5273309,219.497471690918,0.500065564985085,0.0138879338744587,0.0451338,0.0595982,0.0107162,0.0088094
67,8.6568229,219.488828036248,0.500040806410285,0.0136789778901951,0.0471897,0.0575681,0.0101735,0.0073042
68,8.7767196,219.472381427581,0.500023612703146,0.0135424248765009,0.042827,0.0529179,0.0098396,0.0082332
69,8.9041212,219.46265285851,0.499997700488025,0.013333331686039,0.0431047,0.0557999,0.0120184,0.009027
70,9.0316567,219.449217031951,0.499975779908433,0.0131826514124339,0.0463227,0.0550321,0.0107087,0.0083087
71,9.1535499,219.43919641792,0.499950007242458,0.0130197980736255,0.0456159,0.0527858,0.010088,0.0071643
72,9.2733496,219.427246088994,0.499926879642718,0.0128323981239027,0.0422043,0.05379,0.0097494,0.0078201
73,9.3975557,219.417165987626,0.499902250113932,0.0134849131850429,0.0428057,0.0561963,0.0108285,0.0075259
74,9.521179,219.257664413322,0.500101798023681,0.0125324058569869,0.0442014,0.0549213,0.0101266,0.0076519
75,9.6411758,219.261070876471,0.500092768851406,0.0121498738096679,0.0424689,0.053949,0.0099445,0.007604
76,9.7568283,219.368813317084,0.4999062355628,0.0131029825156317,0.0410548,0.0510493,0.0097744,0.0073354
77,9.8766153,219.202128824426,0.500101723362424,0.0120219480563311,0.0423531,0.0544045,0.0098945,0.0073221
78,9.9942134,219.224879175492,0.500060732209531,0.0120624900919499,0.0413081,0.0530248,0.009929,0.0071014
79,10.1177577,219.184036815395,0.500091638011417,0.0118439583655143,0.0457601,0.0548609,0.0101301,0.0069789
80,10.242217,219.188584553594,0.500066308380737,0.0117028331895584,0.0430054,0.0572898,0.0096441,0.0077092
81,10.3665293,219.168018806293,0.500068496797979,0.0115467938395575,0.0439696,0.0569629,0.0103627,0.0068969
82,10.494348,219.167080606331,0.500046560795679,0.0114186492337699,0.0434366,0.0591013,0.0099354,0.0077824
83,10.6183266,219.154451171876,0.500037497064672,0.0112586681632423,0.0482254,0.0525235,0.0099684,0.0075679
84,10.7452313,219.151074790071,0.50001739013091,0.0111376933219607,0.0451566,0.0568857,0.0100135,0.0080199
85,10.8717672,219.142244631868,0.500003739079006,0.0109992857304934,0.0428141,0.058651,0.0107183,0.008188
86,10.9956711,219.1376104798,0.499985400361673,0.010864515072382,0.0441673,0.0564257,0.0099593,0.0069265
87,11.1506186,219.13057636295,0.4999702076099,0.0107426190717074,0.0465205,0.0761246,0.0131888,0.0096491
88,11.2941547,219.125491932328,0.499953071752201,0.0106178765142333,0.0520195,0.0597717,0.0135942,0.0097906
89,11.4487796,219.119230855881,0.499937762139076,0.0104918379455236,0.0509051,0.0688356,0.0149925,0.0124089
90,11.5811374,219.113990998157,0.499921746761985,0.0103735724472572,0.0513782,0.0553308,0.0104018,0.0082256
91,11.745596,219.108136798907,0.499906917400097,0.0102615794357755,0.0521753,0.0798144,0.014209,0.0109513
92,11.9066788,219.102784457997,0.49989184872289,0.0109324638235111,0.04875,0.0780015,0.0150258,0.0093214
93,12.0312031,218.951123723444,0.5000981438267,0.0100435240249814,0.0441744,0.0554963,0.0100273,0.0077858
94,12.1512505,218.957690416218,0.50010094051597,0.0100297018826978,0.0443329,0.0520934,0.0099857,0.0078217
95,12.2761944,219.068992245915,0.499924770025104,0.00985943799120914,0.0438098,0.0563673,0.0100933,0.0082597
