iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
40,25.4889058,223.834073000192,0.499736810065809,0.199842306877786,0.0400024,0.0569204,0.0106306,0.5780674
41,26.1781437,224.030518639727,0.499692080541856,0.199850206703345,0.0548955,0.0561496,0.0111261,0.5579632
42,26.8976424,223.451256744141,0.499746821998176,0.199770345437195,0.0554856,0.0758721,0.0167362,0.556108
43,27.5497692,223.635124767534,0.499749138885012,0.199832591877584,0.047912,0.0782749,0.0163692,0.497206
44,28.1875229,223.12777203383,0.49969676217562,0.1998845629077,0.0424712,0.0526292,0.0106625,0.5252388
45,28.8478667,223.634993293865,0.499560952811171,0.199806742973482,0.0437921,0.0520676,0.0101445,0.5475844
46,29.5474563,223.18076875479,0.49944511169927,0.199840199038897,0.047987,0.0552076,0.011303,0.5779096
47,30.220296,223.332783221355,0.499447073928528,0.199888446131369,0.0406871,0.0485145,0.0106069,0.5662862
48,30.9532162,222.920373557577,0.499643120423794,0.19989963456277,0.0426963,0.0528796,0.0112466,0.61903
49,31.7305404,222.734028267606,0.499773134965962,0.199888376432373,0.046472,0.0513111,0.0108171,0.6606558
50,32.4944429,222.595942689802,0.499835996442187,0.199708685107716,0.0530959,0.0588417,0.0121356,0.6281802
51,33.235843,222.449032343845,0.499894961069377,0.199772794996309,0.0415055,0.0520054,0.0109899,0.6294552
52,34.0368645,222.350157031024,0.499933410491436,0.199629979498582,0.0479668,0.0588319,0.0112475,0.6755641
53,34.8289841,222.246016972101,0.499958151019821,0.198571565586154,0.0400381,0.0523606,0.0106319,0.6806744
54,35.5877656,222.194723453312,0.499966706032361,0.199120736742419,0.042522,0.0513268,0.010447,0.6478143
55,36.3393709,222.103690680192,0.499969368281415,0.188171966731951,0.0431693,0.0480939,0.0113334,0.6420308
56,37.1017164,222.06972798266,0.499961452064767,0.199491919407538,0.0408069,0.0521046,0.0105315,0.6521918
57,38.0775807,222.007919221354,0.499941973393494,0.199746216419901,0.044574,0.0580831,0.0110544,0.8544985
58,38.8719354,222.002931324421,0.499894745704908,0.19983898249491,0.03935,0.0482628,0.0098929,0.6905134
59,39.648997,222.248673370624,0.499759129778156,0.199879031274842,0.0453838,0.053256,0.0115447,0.6585235
60,40.4452364,222.203107962529,0.49967312032976,0.199882149482515,0.0456008,0.055743,0.010758,0.6762364
61,41.2478112,222.481342042975,0.499431678032739,0.199922734843238,0.0463533,0.0557503,0.011201,0.6814946
62,42.068246,222.577688847335,0.499434847311577,0.199882263667754,0.0416622,0.0514057,0.0105712,0.7097122
63,42.9092391,222.163824357169,0.499565718813999,0.199916420983764,0.0463454,0.0535216,0.0108148,0.7232689
64,43.7782616,222.049104874821,0.499733728461625,0.199854715668266,0.0516429,0.0618767,0.0112625,0.7327315
65,44.7882261,221.882772291923,0.499859056677574,0.199836810653447,0.0505858,0.0671014,0.0165753,0.8626412
66,45.6990225,221.80942979818,0.499933959188321,0.199035633333467,0.0504943,0.0676806,0.027354,0.7383834
67,46.5040309,221.681461251799,0.499968940182533,0.197652203698466,0.0473573,0.0551721,0.0114998,0.6802818
68,47.3438717,221.704807255625,0.499978663865753,0.199577640644631,0.0436452,0.0599591,0.012159,0.7163711
69,48.3134081,221.64151151067,0.499982004825881,0.194358115279807,0.0443911,0.0579046,0.0119524,0.848337
70,49.1143904,221.603781339101,0.499987932558537,0.140428653124296,0.0434616,0.0506524,0.0100171,0.6899667
71,49.8759665,221.565179478484,0.499985534292849,0.179677838175301,0.0405158,0.0502857,0.0123568,0.6474593
72,50.6470238,221.510889045294,0.499983092620906,0.177783281521756,0.0401953,0.0545554,0.014753,0.651667
73,51.4088311,221.479911957803,0.499979515227245,0.197504285892367,0.0413635,0.0549272,0.0108895,0.6466655
74,52.1708372,221.410700939788,0.499967140484861,0.199850033243059,0.0408808,0.0530646,0.0129105,0.646163
75,52.8688657,221.447120507112,0.499927435833692,0.199786687543958,0.0419651,0.0471268,0.0096972,0.5927953
76,53.6328346,221.514701642114,0.499872197534592,0.199845531114662,0.0396245,0.0539939,0.0109829,0.6493664
77,54.4713521,221.538425078822,0.499749238648804,0.19987903332192,0.0476139,0.055293,0.0108084,0.7175067
78,55.2328297,221.948888599598,0.499499651392911,0.199904177921924,0.043159,0.0507995,0.012064,0.6453022
79,55.9566097,222.042680813026,0.499247737522304,0.199924401862134,0.0418237,0.0534156,0.011089,0.6096136
80,56.6965978,222.123657380659,0.499268446745543,0.199918793846259,0.044837,0.0526055,0.0103695,0.6253579
81,57.4004091,221.858344863064,0.499450669945055,0.199866057233259,0.0427077,0.0517136,0.0108277,0.5910321
82,58.1564068,221.497887639547,0.499723621103377,0.199929074720157,0.0422068,0.0467009,0.0104616,0.6495171
83,58.8836006,221.378433715085,0.499864901669586,0.199853990893558,0.0453468,0.052692,0.0105577,0.6095291
84,59.7020453,221.235858156016,0.499946890604341,0.199730783493269,0.0442732,0.0536557,0.0129359,0.6972395
85,60.4154363,221.207063027558,0.499983045849381,0.190478399152662,0.0469026,0.0532551,0.0101963,0.5957937
86,61.1563167,221.199558672272,0.499991113036074,0.104338495776307,0.0376677,0.052264,0.0124106,0.6277246
87,61.8896783,221.184792471709,0.499993923913489,0.0686089616981326,0.0430208,0.0519232,0.0118106,0.6161467
88,62.6525723,221.172591501295,0.499994672900345,0.0513779208217493,0.046616,0.0505838,0.0103346,0.6487769
89,63.4337971,221.151357101202,0.499994455851287,0.0637761930322657,0.0444318,0.0510023,0.011275,0.6655383
90,64.2201678,221.135022779107,0.499993915733153,0.0628452532708817,0.0429658,0.0502577,0.0101037,0.6756086
91,65.0486302,221.098378325749,0.499992755286997,0.156793843637945,0.050952,0.0565997,0.0103659,0.7012626
92,65.9569201,221.106720409719,0.499987077709927,0.19929798273795,0.0474438,0.0574046,0.0112301,0.7819618
93,66.8293422,221.035369480523,0.499977681525569,0.199537038530794,0.07381,0.0664892,0.0126084,0.7108481
94,67.6633708,221.206158207649,0.499934729792718,0.199827855988257,0.0500737,0.0557592,0.0101494,0.7098818
95,68.4644957,221.119062291227,0.499845255848276,0.19985412478314,0.0443657,0.0527816,0.0105352,0.6869422
96,69.3085331,221.687514325368,0.499585331443002,0.199911024816391,0.0462447,0.0549959,0.010563,0.7239049
97,70.0994808,221.922728494621,0.499149569152932,0.199904111183812,0.0462389,0.0536092,0.0102963,0.6744676
