iteration,time_seconds,compliance,volume_fraction,change,beta,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.6930581,790.728871343458,0.545605260947809,1,1,0.0453156,0.063186,0.0544278,0.5127045
2,1.2502547,875.797561223789,0.463974091576317,0.199745247506945,1,0.046163,0.0573336,0.0379294,0.400662
3,1.7848028,602.484062533957,0.473138630168941,0.163885051926608,1,0.0416348,0.0523785,0.0311099,0.4002303
4,2.3588755,478.160941180898,0.484752363283085,0.180017061754952,1,0.0448099,0.054353,0.0342178,0.4285467
5,2.9120677,416.341515733686,0.491412679792553,0.142049291765267,1,0.0443459,0.0544096,0.0370251,0.4035913
6,3.4548289,384.898225614444,0.495809429235319,0.137613057439353,1,0.0417719,0.0539509,0.0318452,0.4030127
7,3.9781985,368.250955591298,0.497341055947045,0.134387218723557,1,0.0416769,0.0518245,0.0290083,0.3935276
8,4.5136369,356.687163243453,0.497954296729104,0.145289126663726,1,0.0429909,0.0535079,0.0309125,0.4004896
9,5.0750186,347.801827694361,0.498366772557348,0.159078403006349,1,0.050913,0.0556214,0.0357975,0.409969
10,5.6478306,339.866236994117,0.498409137764574,0.154365567288618,1,0.0452477,0.0542896,0.0324662,0.4326987
11,6.1876703,332.167959973543,0.498291052708045,0.154879130178334,1,0.0433662,0.0551297,0.0314996,0.4023214
12,6.733474,324.942289676106,0.498413289956683,0.155279105433405,1,0.0432921,0.0550911,0.036012,0.4011819
13,7.3088767,318.431096590925,0.498512045628982,0.142029820411506,1,0.0423498,0.077036,0.0353911,0.4106713
14,7.8958135,312.439606066376,0.498583553021174,0.151128962283823,1,0.0449443,0.0560829,0.0324198,0.4431801
15,8.4389083,306.799645583075,0.498633459100537,0.169231669288711,1,0.0410034,0.053273,0.0309925,0.4110058
16,8.9876676,301.297399662119,0.498654718501112,0.185334958356278,1,0.041103,0.052114,0.0300139,0.4185452
17,9.5379549,295.736397569283,0.498549413315956,0.189766233828133,1,0.0414519,0.0520658,0.0310157,0.4190952
18,10.124808,289.987473234368,0.498232045706092,0.194334636077165,1,0.0413123,0.0663593,0.0286097,0.4440364
19,10.7029341,285.331894428989,0.496957730677699,0.194415580899391,1,0.0441146,0.0553733,0.0329754,0.4368671
20,11.2760353,282.114504066182,0.494771349324658,0.198519248490834,1,0.0408112,0.0565685,0.0351112,0.4321844
