iteration,time_seconds,compliance,volume_fraction,change,beta,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.8034729,1027.43233659994,0.5,1,1,0.0526731,0.067547,0.0579928,0.6045382
2,1.6147487,747.341000025494,0.468777663508321,0.199969112331698,1,0.0648781,0.0818344,0.0543119,0.5835587
3,2.2543948,555.701574307246,0.480002231716103,0.169609429641736,1,0.0538641,0.0691026,0.0450171,0.4608655
4,3.0738035,458.191742819757,0.487521760568715,0.151552969652423,1,0.0623794,0.0813693,0.0522465,0.6091863
5,3.7391942,404.801225371742,0.492432775438946,0.131858652145409,1,0.0556383,0.0736978,0.0446502,0.4824869
6,4.32382,376.095038878618,0.495913471698937,0.120881519460379,1,0.0483737,0.0623099,0.0385421,0.424667
7,4.9412863,360.146356061294,0.497460795047367,0.131421352172378,1,0.0458494,0.0635248,0.0369566,0.4602934
8,5.5980663,349.69140804546,0.498119941155262,0.145012378872788,1,0.0531948,0.0698467,0.0449129,0.4758819
9,6.2233841,342.01910419823,0.498540865664945,0.163591668270663,1,0.057403,0.0704296,0.0427134,0.4442369
10,6.8226214,335.813389778985,0.498751932082011,0.16925971716077,1,0.0503111,0.0622211,0.0375403,0.4377386
11,7.4200259,329.678928098566,0.498675057451509,0.138883994027626,1,0.0587677,0.0674512,0.038273,0.4252668
12,8.02116,323.324825154204,0.498502324248429,0.165136324348826,1,0.0522289,0.0587309,0.0376815,0.4436054
13,8.6393502,316.835560423757,0.49847135336323,0.180732624534344,1,0.0525246,0.0625343,0.0437351,0.4485358
14,9.2394349,310.546966596645,0.498535916681943,0.16901173884973,1,0.0484871,0.0618405,0.0374763,0.4440197
15,9.8474029,304.536005973373,0.4985608415879,0.17400759575559,1,0.0509933,0.0602115,0.03694,0.4521747
16,10.5188885,298.443174245593,0.498562410473785,0.186363541331822,1,0.0475865,0.0654824,0.0465402,0.499613
17,11.1918803,292.066418381874,0.49845600237608,0.190710981296809,1,0.0531569,0.0686266,0.0433003,0.4956345
18,11.7946521,285.033646860873,0.498020501592225,0.193513330996264,1,0.050717,0.06192,0.0375234,0.4456463
19,12.3890214,278.291574721247,0.497222270534432,0.196585954428481,1,0.0476784,0.0639729,0.0361798,0.4384802
20,13.0107952,271.963439711995,0.495899602586643,0.197799612974115,1,0.0492832,0.0630384,0.0362606,0.4648096
21,13.6325621,264.072659532888,0.495278741832138,0.198781194003037,1,0.0501975,0.0606612,0.0402838,0.4609137
22,14.2482414,255.213440892344,0.496649184319057,0.197825083728157,1,0.0477779,0.0623827,0.0397855,0.4572937
23,14.8839414,249.760512221929,0.498581546932088,0.197500571946263,1,0.0495384,0.0603367,0.0385592,0.4793483
24,15.6105066,247.026948759494,0.499113445600321,0.196467498429291,1,0.0467696,0.060851,0.0372091,0.5735386
25,16.3059627,244.925979821147,0.49922851977193,0.195601633031724,1,0.0509413,0.0613848,0.0447091,0.5294416
26,17.0113642,243.088403831884,0.499304611787875,0.194415050524472,1,0.0519164,0.0626611,0.0442446,0.5356429
27,17.6486813,241.560126219036,0.499382046611662,0.192646970729643,1,0.0510322,0.0625927,0.0371426,0.4765687
28,18.3036006,240.229291411777,0.499390513071293,0.190622268909785,1,0.0515301,0.0608531,0.0363348,0.4991033
29,19.0476329,239.038126397426,0.49951057336474,0.1847456863767,1,0.0541576,0.0669196,0.0433573,0.5698044
30,19.8503589,238.17607595581,0.499677892820047,0.184544794968538,1,0.0675102,0.0821424,0.0524801,0.5894157
31,20.6516354,237.500700759949,0.499717274285215,0.178744048141692,1,0.0589769,0.0667244,0.0432983,0.6225097
32,21.3862988,236.912277509175,0.499755640462251,0.177382642157238,1,0.0526105,0.062507,0.0390108,0.5724148
33,22.1354849,236.41627365394,0.499806172702363,0.173949614027269,1,0.0557735,0.0676645,0.0455802,0.5701629
34,22.8901707,236.016379108709,0.499841968241162,0.175792551290562,1,0.0584777,0.0739975,0.0442814,0.5686416
35,23.6125353,235.680560612736,0.499865545764998,0.17869625305003,1,0.0599668,0.0732117,0.0442611,0.5343739
36,24.2921702,235.395246737076,0.499888732256486,0.178296688554506,1,0.0526737,0.0709509,0.0425718,0.5035921
37,24.9338595,235.154128797115,0.499905703545142,0.165980859325964,1,0.0475275,0.0593751,0.0369935,0.4884678
