iteration,time_seconds,compliance,volume_fraction,change,beta,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.6703512,1368.87363391576,0.454394739052191,1,1,0.0487855,0.0628789,0.0391187,0.511851
2,1.2777619,752.236314866268,0.459936723700471,0.199982468318321,1,0.058905,0.0668435,0.0436476,0.4282645
3,1.9122516,545.392618180377,0.480207386106848,0.183062316121014,1,0.0497766,0.0586942,0.0343436,0.4841072
4,2.5395334,451.15714453709,0.488809289727303,0.147334845366457,1,0.0490145,0.0631347,0.0429547,0.460659
5,3.1518236,401.206602053196,0.493295797630166,0.126236390471243,1,0.0510615,0.0609658,0.0350116,0.4568447
6,3.7738279,374.166589690086,0.496085026951828,0.117918914719903,1,0.0429027,0.0606552,0.0417955,0.4677163
7,4.3840309,358.573220154369,0.497465866911913,0.129544838056582,1,0.047799,0.0610171,0.0392925,0.4541675
8,5.0145396,348.343188463174,0.498152331496659,0.147517869284828,1,0.0502195,0.0620643,0.0359902,0.4746598
9,5.6333768,341.051096272448,0.498622691344801,0.166157738823039,1,0.0580646,0.0666511,0.0417758,0.4431919
10,6.2386346,335.539137357524,0.498890699586988,0.179272897432693,1,0.0484863,0.069422,0.0407475,0.4374519
11,6.8561822,330.453796449364,0.498864674314375,0.153740438096761,1,0.0502954,0.0651019,0.0381784,0.4521134
12,7.4402505,324.627556214283,0.498621737422659,0.141111864844404,1,0.0442157,0.0592841,0.0354021,0.4378224
13,8.0569876,317.982574605397,0.498463902050196,0.16126368492956,1,0.0519037,0.0639791,0.0399669,0.4497337
14,8.6537461,311.126751977702,0.49845261201345,0.188387913887598,1,0.0517192,0.0629437,0.0357903,0.437495
15,9.2761725,304.868137785058,0.498602259663421,0.183388858496469,1,0.0441395,0.0633424,0.0388037,0.4661963
16,9.8929199,298.797390576355,0.498601228138866,0.187519242888483,1,0.0437975,0.0615042,0.0375482,0.4636108
17,10.5804356,291.946078218845,0.498445207396624,0.190080031711525,1,0.0471494,0.074191,0.0452165,0.5053588
18,11.5584301,283.820231244738,0.498069823699609,0.193417379719932,1,0.0621587,0.3765518,0.0487113,0.4755727
19,12.2082697,274.07775608926,0.497633385428219,0.195540289453153,1,0.060261,0.081501,0.0441143,0.4549564
20,12.8613936,264.11407623292,0.497568008021545,0.195760689940886,1,0.0597384,0.0650877,0.0411708,0.4750921
21,13.495673,255.758757892639,0.497957673256133,0.196188978713529,1,0.0496401,0.068711,0.0417106,0.4638054
22,14.0960845,249.935038115025,0.498319067009085,0.196659112904738,1,0.0515778,0.0603122,0.0405062,0.4376037
23,14.6769218,245.448047469155,0.498501978149882,0.197142761525116,1,0.0500816,0.0621994,0.0377089,0.4196977
24,15.275092,241.422891217764,0.498754935656484,0.196851621207326,1,0.0471985,0.0645367,0.0382044,0.4383777
25,15.8614495,238.847153797473,0.499167174661764,0.195444077906591,1,0.0538963,0.0635369,0.0407682,0.4158778
